URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/encounter-discharge-disposition,4.0.1,draft,"2.16.840.1.113883.4.642.3.259",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.262",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.250",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO (V3),THO"
http://hl7.org/fhir/ValueSet/encounter-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.261",EncounterReasonCodes,Encounter Reason Codes,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","SCT"
http://hl7.org/fhir/ValueSet/encounter-special-arrangements,4.0.1,draft,"2.16.840.1.113883.4.642.3.253",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/encounter-special-courtesy,4.0.1,draft,"2.16.840.1.113883.4.642.3.252",SpecialCourtesy,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO (V3)"
http://hl7.org/fhir/ValueSet/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.246",EncounterStatus,EncounterStatus,"Current state of the encounter.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/encounter-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.248",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/hims-target-facility-encounter,StructureDefinition/hhims-target-facility-encounter,StructureDefinition/generic-target-facility-encounter","THO"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/procedure,StructureDefinition/notifiable-diseases-notified","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.3.75",EventTiming,EventTiming,"Real world event relating to the schedule.","StructureDefinition/medication-request,StructureDefinition/follow-up-plan","THO (V3),hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/hims-ips-bundle,StructureDefinition/hims-transactional-bundle,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hhims-ips-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/hims-patient,StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/organization,StructureDefinition/hims-ips-bundle,StructureDefinition/hims-transactional-bundle,StructureDefinition/medication-request,StructureDefinition/hhims-patient,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hims-composition,StructureDefinition/hhims-ips-bundle","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/hims-patient,StructureDefinition/hhims-composition,StructureDefinition/providers-location,StructureDefinition/organization,StructureDefinition/hims-ips-bundle,StructureDefinition/hims-transactional-bundle,StructureDefinition/medication-request,StructureDefinition/hhims-patient,StructureDefinition/hhims-transactional-bundle,StructureDefinition/hims-composition,StructureDefinition/hhims-ips-bundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,ImagingStudyStatus,"The status of the ImagingStudy.","StructureDefinition/imaging-study","hl7.fhir.r4.core"
